rateContent,appendComment_content
记录仪安装车上，很上档次很好看，送了很多东西，哈哈，主要是记录仪太清晰了，比我原来的清楚多了，晚上都很清楚，从车外面看高端大气，里面也很上档次，客服很耐心的教，这是淘宝最满意的一次购物，大家不要再犹豫了，速度买，绝对是你们需要的,
行车记录仪安装好，线隐蔽成功很美观，开机使用只有高清导航，经咨询升级后电子狗，ADAS都能用了，真的不错，也比较清晰，满意！,
宝贝不错，就是打开应用有点延时，这个价位应该可以。,
宝贝收到，还没有安装，看着可以，满意,
像素还可以，，功能都打开后非常的卡顿，根本就不能用,大家千万不要上当了，，东西太垃圾了，
收到宝贝。真的很不错。物流特别快。摄像头特别清晰。看起来特别高大上。最满意的一次网购,
东西很好也很清晰，功能也很全，很实用，像素也很好，晚上也看的清楚,
其它的功能都不错，可惜少了个移动侦测，有时候大屏不显示，要拔钥匙重开。,
东西挺好，比原来车上的清楚多了！操作也比较简单！给个赞！自己动手十分钟搞定！,
非常不错，挺好的，画面非常清晰，试了试，挺好，安装简便,
给爸爸买的，收到后，就连接使用了，爸爸很满意,
质量很好物美价廉，清晰度很高,
没有这个adas吧，挺想要的，有了吧，一直喊车道偏离，挺烦的&hellip;就这样吧，现在感觉也没太大用处，变道吧也喊车道偏离&hellip;确实感觉有些烦，关了,
昨天自己亲手安装挺好安装的，东西挺好的，价格实惠，视频清晰，推荐大家购买,
功能强大，图像清晰，非常满意！,
设计简洁实用，摄像头清晰，比我想象的要好！先好评！待后（不是我天天用！）追评！,
此用户没有填写评论!,质量不错，非常好用
摄像清晰,
买过很多次了，老板值得信赖,
客服很好，东西装好了，感觉不错，用几天再来评价,
感谢卖家耐心的指点，装好了。,
画面很清楚，安装跟简单，客服服务很好！,
影像很清晰,
功能强大 耐用就好,
不挡视线，视频清晰，希望耐用,
好用很清晰,
比以前那个好多了   上图看看,
商家对买家考虑的服务非常周到  买家非常满意 5分,
什么破东西，出来的图像还是变形的，而且一点都不清楚，,
很不错，就是有点太大,
画质还行，可以接受，毕竟价格在那里，功能也还可以，主要可以放在后视镜后面，这点非常好,
白天还行，晚上效果一般，有光就一团白的，车牌细节就几乎被-团光给遮掉了，另外个头可不小,
