m***s,tmall,5.66677E+11,2018/8/6 21:12,,还没有用，用后再评论,,,,https://detail.tmall.com/item.htm?id=566676754659
永***锡,tmall,5.66677E+11,2018/8/6 20:25,,一直是小米绑定追随者.物有所值。很棒,,,,https://detail.tmall.com/item.htm?id=566676754659
旭***b,tmall,5.66677E+11,2018/8/6 20:14,,不是很满意，本来想退的，可是走过暗线了，拆下来比较麻烦。,,,,https://detail.tmall.com/item.htm?id=566676754659
h***9,tmall,5.66677E+11,2018/8/6 18:23,,小米忠粉。东西一如既往的出色。,,,,https://detail.tmall.com/item.htm?id=566676754659
幸***7,tmall,5.66677E+11,2018/8/6 6:57,,小爱同学非常好，安装简单，摄像清晰！,,,,https://detail.tmall.com/item.htm?id=566676754659
崛***拍,tmall,5.66677E+11,2018/8/5 22:15,,相当不错，不过前置摄像头不如后置摄像头清晰,,,,https://detail.tmall.com/item.htm?id=566676754659
王***子,tmall,5.66677E+11,2018/8/5 18:00,,小米物品没的说！越来越好了。加油！！,,,,https://detail.tmall.com/item.htm?id=566676754659
和***光,tmall,5.66677E+11,2018/8/5 11:49,,不错，之前有活动便宜45，买了前后摄像头。首先一定要配内存卡才能录制，否则相当于打开摄像头无法记录。语音系统比较方便，可以语音叫小爱同学去设定目的地，切换下一首歌曲等，上车后如果没插入米连卡，就必须连接手机热点，否则小爱同学无法使用。内置酷我音乐盒，但是搜索歌曲很麻烦，只能用语音，所以英文歌曲无法识别。可以发射调频广播信号，车内广播搜索到对应调频广播就可以播放行车记录仪里面的音乐。之前还担心反光效果不好，没想到屏幕暗下来的效果不错，可以透过镜子清楚看到后方。镜子有点大，有点遮挡上方视线。感觉触摸屏不是很灵敏，有时候开车不容易点击，系统反应也有一丢丢慢。后置摄像头是70迈的，听清楚的。可以扫描里面二维码预定安装服务，前后摄像头一块安是100元。总之这款记录仪比较满意，小米的东西除了手机，都挺好的。,,,,https://detail.tmall.com/item.htm?id=566676754659
z***s,tmall,5.66677E+11,2018/8/4 18:28,,安装简单，确实不错，就是行程记录仪不能设置像素及帧数，耗费储存，32G内存卡只能保留几小时内容，再用一段时间看看情况。,,,,https://detail.tmall.com/item.htm?id=566676754659
张***9,tmall,5.66677E+11,2018/8/2 11:55,,记录仪凑合，但，如果安装后视摄像头的话，强烈建议内存卡放c10且64g以上的内存卡！！！并且淘宝小米旗舰店客服服务差到想骂人！！！,,,,https://detail.tmall.com/item.htm?id=566676754659
憨***y,tmall,5.66677E+11,2018/7/31 21:59,,还可以，导航挺准的。小艾同学还可以聊天,,,,https://detail.tmall.com/item.htm?id=566676754659
p***q,tmall,5.66677E+11,2018/7/29 21:48,,收货后流量卡一直不能上网，多次电话都不能开通，客服弄不清楚问题又推卸责任，直到我提出退货退款争议，问题终于解决了.小米售后很有问题.,,,,https://detail.tmall.com/item.htm?id=566676754659
玄***3,tmall,5.66677E+11,2018/7/29 0:38,,后视镜还是比较智能的 大部分功能都能通过小爱同学完成  就是每次连的时候比较繁琐 我没有用米联卡 所以每次上车要开热点。后视镜连车内音响是可以实现的 基本操作就是 1.先上车打开热点 2.打开调频发射 把车载收音机频率和调频发射调成一样就行（这时候不要去动车载收音机啦！想听收音机就在后视镜上调，如果你要听9.18你要说是杭州交通经济广播！91.8它听不懂....） 这样的话你可以开导航了 声音也是从汽车音响出来的。  想听歌要去调另一个什么忘记了 就是再主页面图案像是一个手机的那个 这样就可以实现 通过后视镜连上手机听手机里的歌 而且是汽车音响放出来的啦。（要打电话就开蓝牙） 研究了几天目前就知道这些功能啦 希望能帮到你们,,,,https://detail.tmall.com/item.htm?id=566676754659
l***8,tmall,5.66677E+11,2018/7/27 14:18,,挺好的，蛮有意思的,,,,https://detail.tmall.com/item.htm?id=566676754659
y***3,tmall,5.66677E+11,2018/7/27 11:16,,小米的东西没的说，就是叫小爱，有时候爱睬不睬的,,,,https://detail.tmall.com/item.htm?id=566676754659
持***1,tmall,5.66677E+11,2018/7/27 11:03,,没有想象的好,,,,https://detail.tmall.com/item.htm?id=566676754659
w***墨,tmall,5.66677E+11,2018/7/27 9:57,,性价比高，质量很好，好评！！！,,,,https://detail.tmall.com/item.htm?id=566676754659
刘***q,tmall,5.66677E+11,2018/7/27 9:31,,东西很好，语音超级灵敏，比小米8上的小爱灵敏100倍，我小声的对着手机唤醒小爱同学，居然车载的出来，手机没反应！#尴尬# 只是用的比较少，后视镜也没装上，adas辅助功能还没用上！但开机调试教程还是挺好的！ 重点：为什么其他的好多牌子都能有播放电视（就像手机下载了腾讯视频，爱奇艺类APP看资源！）的功能，以前我的威路特m8就可以直接看电视的，而且这个东西的性价比还有待提高！虽然有这些不足，但我主要是冲着小米来的，只要能保证安全不易出问题还是很好的！希望小米越做越好，支持老乡雷布斯！加油,,,,https://detail.tmall.com/item.htm?id=566676754659
d***1,tmall,5.66677E+11,2018/7/25 21:14,,七十迈的产品希望和我一样的用户关注下，售后出现问题很难解决的，只要问题是七十迈400电话和微信公共账号根本无法联系上售后，遇到产品质量问题没有人来解决，小米官方客户也给的意见就是和七十迈客户联系，但始终没有途径和方式联系上，这是我遇到的困惑，希望其它用户买之前先考察清楚再下单。,,,,https://detail.tmall.com/item.htm?id=566676754659
